correct_ans,score,percentile
58,800,99+
57,800,99+
56,800,99+
55,790,99
54,790,99
53,780,98
52,770,98
51,750,96
50,740,96
49,730,95
48,710,94
47,700,92
46,690,91
45,680,89
44,680,89
43,670,88
42,660,86
41,650,85
40,640,83
39,630,81
38,620,79
37,610,77
36,600,75
35,590,72
34,580,69
33,580,69
32,570,66
31,560,64
30,550,61
29,540,57
28,540,57
27,530,53
26,520,49
25,520,49
24,510,44
23,500,40
22,490,37
21,480,34
20,470,31
19,460,28
18,450,25
17,440,22
16,430,20
15,420,17
14,400,13
13,390,11
12,380,9
11,360,6
10,350,4
9,340,3
8,320,1
7,300,1
6,290,1
5,270,1
4,250,1
3,240,1
2,220,1
1,210,1
0,200,1
